geonlp_id,entry_id,body,body_kana,hypernym,ne_class,latitude,longitude,県コード,水系コード,河川コード,区間種別
"gX3Qxb","383801270003","長谷川",,"愛媛県","河川湖沼/河川","33.96177889","133.36623917","38","380127","3801270003","4"
"YT2Jfe","383801280001","荷内川",,"愛媛県","河川湖沼/河川","33.97929611","133.37196583","38","380128","3801280001","3"
"GP1BXh","383801280002","鳥越川",,"愛媛県","河川湖沼/河川","33.97952","133.37945556","38","380128","3801280002","4"
"oL0uFk","383801290000","西大谷川",,"愛媛県","河川湖沼/河川","33.97588583","133.41180056","38","380129","3801290000","0"
"6GZnnn","383801290001","千々之木川",,"愛媛県","河川湖沼/河川","33.97564694","133.415395","38","380129","3801290001","3"
"OCYg5q","383801290002","大谷川",,"愛媛県/千々之木川","河川湖沼/河川","33.98206285","133.41608857","38","380129","3801290002","3"
"wyX8Nt","383801300000","河又川",,"愛媛県/関川","河川湖沼/河川","33.89226196","133.38691626","38","380130","3801300000","0"
"euW1vw","383801300001","関川",,"愛媛県","河川湖沼/河川","33.97345399","133.43672321","38","380130","3801300001","3"
"WqUUdz","383801300002","宮ノ谷川",,"愛媛県/関川","河川湖沼/河川","33.95713893","133.43006142","38","380130","3801300002","3"
"EmTMVC","383801300003","添谷川",,"愛媛県/関川","河川湖沼/河川","33.96139222","133.42196694","38","380130","3801300003","3"
"miSFDF","383801300004","浦山川",,"愛媛県/関川","河川湖沼/河川","33.92481687","133.42588746","38","380130","3801300004","4"
"4eRylI","383801300005","河又川",,"愛媛県/関川","河川湖沼/河川","33.90735361","133.41033611","38","380130","3801300005","4"
"MaQr3L","383801300006","西谷川",,"愛媛県/関川","河川湖沼/河川","33.93407152","133.39712731","38","380130","3801300006","3"
"u6PjLO","383801300007","竹谷川",,"愛媛県/関川","河川湖沼/河川","33.94755167","133.3937925","38","380130","3801300007","3"
"c2OctR","383801300008","地蔵谷川",,"愛媛県/関川","河川湖沼/河川","33.94639083","133.38524139","38","380130","3801300008","3"
"TYN5bU","383801300009","大段川",,"愛媛県/関川","河川湖沼/河川","33.93843306","133.38135056","38","380130","3801300009","3"
"BULXTX","383801310000","泉谷川",,"愛媛県","河川湖沼/河川","33.95396528","133.44491639","38","380131","3801310000","0"
"jQKQC0","383801310001","檜木川",,"愛媛県","河川湖沼/河川","33.97570277","133.45036125","38","380131","3801310001","3"
"1MJJk3","383801310002","古子川",,"愛媛県","河川湖沼/河川","33.9526477","133.43537343","38","380131","3801310002","3"
"JIIC26","383801310003","城谷川",,"愛媛県","河川湖沼/河川","33.95142389","133.45039194","38","380131","3801310003","3"
"rEHuK9","383801320001","面白川",,"愛媛県","河川湖沼/河川","33.94968278","133.45986222","38","380132","3801320001","3"
"9AGnsc","383801330001","大池川",,"愛媛県","河川湖沼/河川","33.9440786","133.46784561","38","380133","3801330001","3"
"RwFgaf","383801330002","小川原川",,"愛媛県/大池川","河川湖沼/河川","33.95694576","133.47321814","38","380133","3801330002","3"
"zsE8Si","383801340001","隅田川",,"愛媛県","河川湖沼/河川","33.97146417","133.47469944","38","380134","3801340001","3"
"hoD1Al","383801350001","鎌谷川",,"愛媛県","河川湖沼/河川","33.96451583","133.48026278","38","380135","3801350001","3"
"ZkBUio","383801360001","豊岡川",,"愛媛県","河川湖沼/河川","33.95107556","133.4861775","38","380136","3801360001","3"
"HgAN0r","383801370001","西谷川",,"愛媛県","河川湖沼/河川","33.95187056","133.49520194","38","380137","3801370001","3"
"pczFIu","383801380001","樋ノ尾谷川",,"愛媛県","河川湖沼/河川","33.96108472","133.53084722","38","380138","3801380001","3"
"78yyqx","383801380002","長谷川",,"愛媛県/樋ノ尾谷川","河川湖沼/河川","33.94657944","133.50547667","38","380138","3801380002","3"
"P4xr8A","383801380003","堀子川",,"愛媛県/樋ノ尾谷川","河川湖沼/河川","33.96289285","133.51069794","38","380138","3801380003","3"
"x0wjQD","383801380004","喜蔵川",,"愛媛県/樋ノ尾谷川","河川湖沼/河川","33.95816556","133.52272833","38","380138","3801380004","3"
"eWvcyG","383801380005","重石川",,"愛媛県/樋ノ尾谷川","河川湖沼/河川","33.9612563","133.52709261","38","380138","3801380005","3"
"WSu5gJ","383801390001","大谷川",,"愛媛県","河川湖沼/河川","33.96240389","133.53788694","38","380139","3801390001","3"
"EOsXYM","383801400000","不老谷川",,"愛媛県","河川湖沼/河川","33.96900806","133.54438778","38","380140","3801400000","0"
"mKrQGP","383801400001","井関川",,"愛媛県","河川湖沼/河川","33.97960611","133.53892222","38","380140","3801400001","3"
"4GqJoS","383801400002","石床川",,"愛媛県","河川湖沼/河川","33.972575","133.53970306","38","380140","3801400002","3"
"MCpC6V","383801410000","樋之尾谷川",,"愛媛県","河川湖沼/河川","33.96178917","133.55755611","38","380141","3801410000","0"
"uyouOY","383801410001","宮川",,"愛媛県","河川湖沼/河川","33.9668454","133.55314582","38","380141","3801410001","3"
"cunnx1","383801420001","寺川",,"愛媛県","河川湖沼/河川","33.98318506","133.54790159","38","380142","3801420001","3"
"Uqmgf4","383801430001","海岸寺川",,"愛媛県","河川湖沼/河川","33.97850389","133.55765778","38","380143","3801430001","3"
"Cml8X7","383801430002","中田井川",,"愛媛県/海岸寺川","河川湖沼/河川","33.97917062","133.55546912","38","380143","3801430002","3"
"kik1Fa","383801440000","城川",,"愛媛県/赤之井川","河川湖沼/河川","33.97148471","133.57044351","38","380144","3801440000","0"
"2eiUnd","383801440001","赤之井川",,"愛媛県","河川湖沼/河川","33.98184528","133.56218694","38","380144","3801440001","3"
"KahN5g","383801440002","馬瀬川",,"愛媛県/赤之井川","河川湖沼/河川","33.96858569","133.5652767","38","380144","3801440002","3"
"s6gFNj","383801450001","川茂川",,"愛媛県","河川湖沼/河川","33.98828083","133.56462028","38","380145","3801450001","3"
"a2fyvm","383801450002","堀子川",,"愛媛県/川茂川","河川湖沼/河川","33.99514262","133.55952805","38","380145","3801450002","3"
"RYerdp","383801460001","契川",,"愛媛県","河川湖沼/河川","33.9902304","133.57841129","38","380146","3801460001","3"
"zUdjVs","383801470000","白石川",,"愛媛県/金生川","河川湖沼/河川","33.97938278","133.59822861","38","380147","3801470000","0"
"hQccDv","383801470001","金生川",,"愛媛県","河川湖沼/河川","33.99181989","133.60385795","38","380147","3801470001","3"
"ZMb5ly","383801470002","山田井川",,"愛媛県/金生川","河川湖沼/河川","34.02445389","133.60369278","38","380147","3801470002","3"
"HI9Y3B","383801470003","三角寺川",,"愛媛県/金生川","河川湖沼/河川","33.98633111","133.59737694","38","380147","3801470003","3"
